"Complex"	"Index"	"Subunit"	"Cor"
"CPX-1222"	"7"	"SMARCD3"	"1.75044922531049"
"CPX-1225"	"3"	"SMARCA2"	"0"
"CPX-1225"	"6"	"SMARCB1"	"0"
"CPX-1225"	"14"	"CPX-1225"	"0"
"CPX-1225"	"10"	"SMARCC1"	"0.0050131064241925"
"CPX-1225"	"1"	"ARID1A"	"0.0526901255176462"
"CPX-1225"	"5"	"PS1TP5BP1"	"0.136335733715751"
"CPX-1225"	"4"	"ACTB"	"0.136335733715751"
"CPX-1225"	"13"	"SMARCD1"	"0.152238955307085"
"CPX-1225"	"9"	"DPF3"	"0.335164717057181"
"CPX-1225"	"11"	"SMARCD2"	"0.676981586198541"
"CPX-1225"	"8"	"SMARCC2"	"0.801251106578142"
"CPX-1225"	"12"	"SMARCE1"	"0.940568248653798"
"CPX-1225"	"7"	"SMARCD3"	"1.74575357416737"
"CPX-1226"	"3"	"SMARCA4"	"0"
"CPX-1226"	"6"	"SMARCB1"	"0"
"CPX-1226"	"14"	"CPX-1226"	"0"
"CPX-1226"	"10"	"SMARCC1"	"0.0050131064241925"
"CPX-1226"	"1"	"ARID1A"	"0.0526901255176462"
"CPX-1226"	"5"	"PS1TP5BP1"	"0.136335733715751"
"CPX-1226"	"4"	"ACTB"	"0.136335733715751"
"CPX-1226"	"13"	"SMARCD1"	"0.152238955307085"
"CPX-1226"	"9"	"DPF3"	"0.335164717057181"
"CPX-1226"	"11"	"SMARCD2"	"0.676981586198541"
"CPX-1226"	"8"	"SMARCC2"	"0.801251106578142"
"CPX-1226"	"12"	"SMARCE1"	"0.940568248653798"
"CPX-1226"	"7"	"SMARCD3"	"1.74575357416737"
"CPX-1265"	"4"	"LAMA1"	"0.030865222513671"
"CPX-1265"	"1"	"LAMB1"	"0.740409808612793"
"CPX-1265"	"2"	"LAMC1"	"0.988325792150522"
"CPX-1265"	"3"	"NID1"	"1.69740866666904"
"CPX-1282"	"2"	"LAMC1"	"0.869063174071057"
"CPX-1282"	"1"	"LAMB1"	"0.966852187206512"
"CPX-1282"	"4"	"LAMA2"	"0.986890369458428"
"CPX-1282"	"3"	"NID1"	"1.42062247014884"
"CPX-1285"	"4"	"LAMB2"	"0.0372936893287898"
"CPX-1285"	"2"	"NID1"	"0.543413139479736"
"CPX-1285"	"3"	"LAMA2"	"1.57922079306734"
"CPX-1285"	"1"	"LAMC1"	"1.67123416176128"
"CPX-1299"	"2"	"CEP152"	"NaN"
"CPX-1299"	"3"	"CPX-1299"	"NaN"
"CPX-130"	"3"	"CPX-130"	"0"
"CPX-130"	"1"	"ANXA2"	"1.83333333333333"
"CPX-1313"	"3"	"CPX-1313"	"0"
"CPX-1313"	"1"	"MIF4GD"	"1.40824829046386"
"CPX-132"	"2"	"BAG6"	"0.0963151672970546"
"CPX-132"	"3"	"GET4"	"1.23779503277368"
"CPX-132"	"1"	"UBL4A"	"1.4768574858549"
"CPX-134"	"1"	"TARBP2"	"0.720587525701865"
"CPX-134"	"2"	"AGO2"	"0.898721335436395"
"CPX-134"	"3"	"DICER1"	"1.59092047481918"
"CPX-137"	"3"	"NPLOC4"	"0.355883219929331"
"CPX-137"	"4"	"UFD1L"	"1.10895624656095"
"CPX-137"	"5"	"UFD1"	"1.10895624656095"
"CPX-137"	"2"	"HEL-S-70"	"1.67007009055911"
"CPX-137"	"1"	"VCP"	"1.67007009055911"
"CPX-1427"	"1"	"NCBP2"	"0"
"CPX-1427"	"2"	"NCBP1"	"1"
"CPX-148"	"1"	"GLI2"	"0"
"CPX-148"	"2"	"SUFU"	"1.33333333333333"
"CPX-150"	"1"	"GLI3"	"0"
"CPX-150"	"2"	"SUFU"	"1.33333333333333"
"CPX-155"	"2"	"E2F1"	"0.00669232219312121"
"CPX-155"	"3"	"TFDP1"	"0.126217585699893"
"CPX-155"	"1"	"RB1"	"1.97917935525086"
"CPX-156"	"2"	"PPP4R2"	"0.954916518266628"
"CPX-156"	"1"	"PPP4C"	"1.04508348173337"
"CPX-1605"	"2"	"ZC3H13"	"0.537271322333437"
"CPX-1605"	"5"	"METTL3"	"0.698355995593145"
"CPX-1605"	"4"	"CBLL1"	"1.11004053776535"
"CPX-1605"	"6"	"METTL14"	"1.16344689111559"
"CPX-1605"	"1"	"WTAP"	"1.48287739459684"
"CPX-1605"	"3"	"VIRMA"	"1.52900251017972"
"CPX-1650"	"2"	"COL1A2"	"0.928242823004711"
"CPX-1650"	"1"	"COL1A1"	"1.22566130509902"
"CPX-1713"	"1"	"COL2A1"	"2"
"CPX-1714"	"1"	"COL3A1"	"0.381281566461771"
"CPX-1723"	"2"	"COL4A2"	"0.019430029576472"
"CPX-1723"	"1"	"COL4A1"	"1.99956908239687"
"CPX-1724"	"3"	"CPX-1724"	"0"
"CPX-1724"	"1"	"COL4A5"	"2"
"CPX-1725"	"4"	"CPX-1725"	"0"
"CPX-1725"	"2"	"COL4A4"	"0.961754724194952"
"CPX-1725"	"1"	"COL4A5"	"1.21195425801955"
"CPX-1727"	"3"	"CPX-1727"	"0"
"CPX-1727"	"1"	"COL5A2"	"1.35355339059327"
"CPX-1728"	"4"	"CPX-1728"	"0"
"CPX-1728"	"1"	"COL5A2"	"0.0234016457324059"
"CPX-1728"	"3"	"COL5A3"	"1.99919030864597"
"CPX-1729"	"2"	"CPX-1729"	"NaN"
"CPX-1736"	"4"	"CPX-1736"	"0"
"CPX-1736"	"2"	"COL6A2"	"0.140284146619288"
"CPX-1736"	"1"	"COL6A1"	"1.96182539311802"
"CPX-1737"	"1"	"COL7A1"	"2"
"CPX-1747"	"1"	"COL8A2"	"2"
"CPX-175"	"4"	"CPX-175"	"0"
"CPX-175"	"2"	"TFDP1"	"0.153113390679753"
"CPX-175"	"1"	"RB1"	"1.96739952621293"
"CPX-1751"	"3"	"CPX-1751"	"0"
"CPX-1751"	"1"	"COL5A2"	"1.35355339059327"
"CPX-1752"	"3"	"COL5A1"	"0"
"CPX-1752"	"4"	"CPX-1752"	"0"
"CPX-1752"	"1"	"COL5A2"	"2"
"CPX-1753"	"2"	"CPX-1753"	"NaN"
"CPX-1754"	"2"	"CPX-1754"	"NaN"
"CPX-1755"	"2"	"CPX-1755"	"NaN"
"CPX-1756"	"2"	"CPX-1756"	"NaN"
"CPX-1757"	"1"	"COL16A1"	"2"
"CPX-1759"	"1"	"COL18A1"	"2"
"CPX-1760"	"2"	"CPX-1760"	"NaN"
"CPX-1761"	"2"	"CPX-1761"	"NaN"
"CPX-1762"	"2"	"CPX-1762"	"NaN"
"CPX-1763"	"2"	"CPX-1763"	"NaN"
