Complex	Index	Subunit	zScore-dis
CPX-1880	9	ORC6	0.165407827
CPX-1880	3	ORC4	0.587784282
CPX-1880	4	ORC1	0.671507339
CPX-1880	6	ORC2	2.277414539
CPX-1880	5	ORC2L	2.277414539
CPX-1880	7	ORC3	4.687469988
CPX-1880	1	ORC5L	6.185018129
CPX-1880	2	ORC5	6.185018129
CPX-1907	3	CASP8	2.845928595
CPX-1907	2	RIPK1	3.471988549
CPX-1907	1	FADD	4.326904218
CPX-1910	9	CPX-1910	0
CPX-1910	5	BLOC1S5	0.104881252
CPX-1910	7	BLOC1S4	0.158575551
CPX-1910	3	BLOC1S3	0.409868897
CPX-1910	8	BLOC1S6	1.020000511
CPX-1910	1	SNAPIN	1.209429056
CPX-1910	4	BLOC1S2	1.27032961
CPX-1910	2	BLOC1S1	8.661394121
CPX-1917	3	CPX-1917	0
CPX-1917	1	PIK3R2	4.898979486
CPX-1918	2	PIK3R3	3
CPX-1918	1	PIK3CA	3.872983346
CPX-1942	1	MAGOH	0
CPX-1942	3	RBM8A	4.898979486
CPX-1942	2	RBM8	4.898979486
CPX-195	1	ABCC8	0
CPX-195	2	KCNJ11	4.898979486
CPX-1956	2	NFYB	0.007438012
CPX-1956	1	NFYA	0.172448137
CPX-1956	3	NFYC	5.676711604
CPX-1969	3	CPX-1969	0
CPX-1969	1	CCNC	4.898979486
CPX-1971	1	E2F1	0
CPX-1971	2	TFDP1	4.898979486
CPX-1972	3	CPX-1972	0
CPX-1972	1	TFDP1	4.898979486
CPX-1977	2	VEGF	4.898979486
CPX-1977	1	VEGFA	4.898979486
CPX-1981	1	BCL2	4
CPX-1988	1	BAX	4
CPX-1989	1	BAK1	4
CPX-1992	1	PFKFB1	4
CPX-1994	1	PFKFB2	4
CPX-1995	1	PFKFB3	4
CPX-1996	1	PFKFB4	4
CPX-1997	1	PFKM	4
CPX-1998	1	PFKL	4
CPX-1999	1	PFKP	4
CPX-200	3	ATG5	0.309386177
CPX-200	2	ATG16L1	1.57641976
CPX-200	1	ATG12	5.640915477
CPX-2000	1	PFKM	2.923325932
CPX-2000	2	PFKL	4.687662013
CPX-2001	1	PFKM	2.86977368
CPX-2001	2	PFKL	4.732138547
CPX-2002	1	PFKM	2.846956017
CPX-2002	2	PFKL	4.712437697
CPX-2003	2	CDK1	NA
CPX-2003	3	CCNA1	NA
CPX-2003	4	CPX-2003	NA
CPX-2004	4	CPX-2004	0
CPX-2004	1	CDC2	0
CPX-2004	3	CCNA2	5.656854249
CPX-2005	3	CPX-2005	0
CPX-2005	1	CDK2	4.898979486
CPX-2006	1	CCNA2	1.732050808
CPX-2006	2	CDK2	4.582575695
CPX-2007	4	CPX-2007	0
CPX-2007	1	CDK1	0
CPX-2007	3	CCNB1	5.656854249
CPX-2008	3	CDK1	0
CPX-2008	4	CPX-2008	0
CPX-2008	1	CCNB2	5.656854249
CPX-2009	2	CCNB3	1.732050808
CPX-2009	1	CDK2	4.582575695
CPX-2010	1	CDK4	3
CPX-2010	2	CCND1	3.872983346
CPX-2011	3	CPX-2011	0
CPX-2011	1	CDK4	4.898979486
CPX-2012	2	CCND3	1.732050808
CPX-2012	1	CDK4	4.582575695
CPX-2013	2	CDK6	2.449489743
CPX-2013	1	CCND3	4.242640687
CPX-2014	3	CPX-2014	0
CPX-2014	1	CCND1	4.898979486
CPX-2015	1	CCNE1	0
